In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","Friends and family","Radio news","Podcasts","Local television","Network television (e.g.  ABC, CBS, or NBC)","Cable television (e.g. CNN, Fox News, or MSNBC)","Late-night comedy shows (e.g. The Late Show with Stephen Colbert or The Daily Show)","Print newspapers (e.g. the New York Times or the Wall Street Journal print edition)","A news website or app (e.g. the New York Times or Fox News websites or apps)","A health website or app (e.g. WebMD)","A government website or app (e.g. CDC.gov)","An organization website or app (e.g. WHO.int)","A search engine website or app (e.g. Google, Bing)","A social media website or app (e.g. Facebook, Twitter, Snapchat)","Error Margin","N"
"MO",12,4.3,1.4,19.3,15.5,9.2,3.3,2.5,8.1,2.1,5.1,1.2,3.7,9.8,4.9,358
"MS",17.4,7.6,1.1,22.4,13.6,9.3,1.6,1,7.6,2.4,4.9,1.8,4.7,12.2,6.2,374
"MT",12.3,4.2,0.4,16.4,12.2,10.2,3.3,2.8,8.6,3.8,8.9,2.3,7.2,10.1,5.3,292
"NC",13.6,4.6,2.3,23.4,14.9,14.6,1.6,2.6,4.8,3.8,5,2.2,3.5,9.3,5.2,429
"ND",11,7.4,1.8,20.3,10.9,8.1,2.3,2.9,6.4,1.7,3.9,0.6,0.4,11.6,7.5,209
"NE",14.1,6.9,2.1,21.2,18.9,13.8,1.6,4.2,9.9,3.1,5.4,1.3,4.4,9.1,5.5,336
"NH",13.4,6.5,2.7,21.5,19.5,16.1,2.9,2.7,12,5.6,6.2,5.8,9.6,9.6,5.6,315
"NJ",10.6,8.6,1.6,17.6,15.3,17.3,1.7,5.9,5.5,1.6,2.8,0.5,3.3,7.2,4.8,391
"NM",9,3.5,0.6,15.6,12.3,6.1,2.1,3.6,5.9,2.1,5.8,1.4,6.6,7.5,5.6,335
"NV",11.2,3.1,1.5,16.4,12,11.3,2.5,1.9,7.7,4.2,2.9,2.5,7.3,9.5,4.7,433
"NY",18.6,8.5,3.5,24.3,28.1,22.8,5,9.4,15.1,5.3,8.7,5.1,7.6,12.5,4.9,465
"OH",10.1,4.2,1,18.1,16.3,14.3,1.6,5.1,5.9,3.1,3.5,1.6,3.2,8.7,4,479
"OK",13.4,4.9,1.1,20.7,13.5,15.3,0.9,2.3,9.5,3.1,6.4,1.9,4.2,10.5,6,382
"OR",20.1,7.5,2.6,16.3,14.8,13.3,2.3,5.6,17,4.3,7,3,6.8,16.7,5.1,397
"PA",14,6.2,2.9,19.9,18,12.3,0.5,5.6,9.5,2.7,3.7,1.1,7,10,4.6,478
"RI",14.3,8.7,2.4,19.8,17.9,17.9,2.7,4,8.1,2.1,4.4,2.8,6,6.4,5.3,321
"SC",14.7,6.6,1.6,21.1,15,17,2.3,3.1,6.2,2.5,4.4,1.2,4.3,5.7,5.5,421
"SD",14.8,7.1,1.9,17.6,10.2,11,2.9,1.1,8.8,1.3,5.7,0.7,5.6,19.1,6.6,256
"TN",14.4,5.9,1.8,24.1,15.6,13.9,2.3,4.5,9.4,3,6.2,1,5.8,11.3,5.1,468
"TX",17.4,6.8,3.6,23.1,23.1,19.5,3.6,4.3,8.9,3,4.9,1.2,6,10.6,5.1,484
"UT",14.2,5.2,0.5,15.4,8.1,4.3,0.5,2.6,8.6,2.4,3.6,0.6,4.6,9.4,4.9,441
"VA",11.2,4.6,1.3,15.8,18.7,16.4,0.6,3.2,6.1,2.7,4.3,1.1,6.3,8,5.3,402
"VT",13.6,6.3,1.1,14,14.2,7.9,1.2,3.7,10.4,4.2,5,0.8,4.3,10.8,6.2,202
"WA",22,10,2.7,24.5,20.1,19.8,1.9,5.7,14.7,5.7,9.1,3.6,7.3,17.9,5.1,445
"WI",17.6,7.5,2.1,30.4,22.6,16.2,1.9,5.9,12.8,3.3,5.8,3.1,7.4,15.1,5.1,445
"WV",16.2,4.1,1.6,18.3,14.3,12.8,1.4,6,7.4,3.5,5.8,1.4,5.4,8.6,5.8,363
"WY",9.2,9.4,2.8,9.6,9.9,17.3,0.4,4.3,15.2,5,9.9,3.3,11.6,16.6,8.5,157
