In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","Friends and family","Radio news","Podcasts","Local television","Network television (e.g.  ABC, CBS, or NBC)","Cable television (e.g. CNN, Fox News, or MSNBC)","Late-night comedy shows (e.g. The Late Show with Stephen Colbert or The Daily Show)","Print newspapers (e.g. the New York Times or the Wall Street Journal print edition)","A news website or app (e.g. the New York Times or Fox News websites or apps)","A health website or app (e.g. WebMD)","A government website or app (e.g. CDC.gov)","An organization website or app (e.g. WHO.int)","A search engine website or app (e.g. Google, Bing)","A social media website or app (e.g. Facebook, Twitter, Snapchat)","Error Margin","N"
"OK",9.7,5,0.7,15.6,11.2,8.1,1.7,1.9,9.2,1.7,5,2.3,3.2,11.5,4.3,486
"OR",12.1,8.6,2.8,20,14.5,12.8,1.1,6.3,10.9,2.2,4.3,1.3,2.5,8.9,4.8,472
"PA",9.7,7.4,1.5,15.6,12.7,12,1.5,3.3,6.6,0.9,3.8,0.7,4.4,10.6,3.7,512
"RI",13.4,4.1,3.6,27.9,20.9,16.9,2.9,6.1,7.3,3,4.7,0.3,7.4,7.8,8,255
"SC",13.7,8.8,0.6,27,23,15.6,1.8,5.3,9.5,1.6,4.5,1.1,6.8,10.9,5.4,452
"SD",12.7,4.9,0.8,15.7,13.9,14.1,0.7,2.4,11.1,2.5,4.7,0,1.7,14.9,7.8,184
"TN",10.3,5.3,1.1,17.6,12.9,11.3,1.2,3.8,5.5,2.4,3.9,1.5,3.7,7.6,3.7,499
"TX",10.4,6.3,1.7,20.3,16.1,13.1,1.1,2.7,5.8,2.1,3.6,1.4,4.5,7.2,3.7,639
"UT",15.9,7.5,1.2,14.4,10.8,4.7,2.1,2.9,10.3,4.7,5.7,2,5.9,10.3,6.4,271
"VA",12.4,5.3,1,18.1,19.2,15.1,3.1,4.9,7.6,4.6,4.6,1.7,4.6,11,3.9,543
"VT",12,12.9,0.3,18.9,15.3,9.3,3.9,7.8,10.6,4.6,6.1,1.3,4.6,10.2,8.4,131
"WA",11.5,5.5,2.5,14.9,12.8,9.6,2.1,3.4,8.9,2.5,5.4,1.5,4.8,9.8,3.7,489
"WI",11.3,5,0.4,24.7,17.7,9.1,2,4.7,8,1.4,4.4,1.5,3.2,10.4,4.5,450
"WV",12.9,7.6,1.3,19.3,13,13.9,1.7,3.6,8.4,2.6,5.4,2,7.9,15.8,5.9,372
"WY",10.4,9.3,3.4,18,8.5,13.5,4.5,7.3,11.5,3.7,1.5,0.2,3.2,10.4,9.3,142
